time,memory_used_mb,gpu_utilization
1784311446.4571464,6424.98046875,5.0
1784311446.7122712,6424.98046875,5.0
1784311446.9651873,6418.23046875,95.0
1784311447.2257032,6419.60546875,95.0
1784311447.480626,6419.60546875,96.0
1784311447.7411723,6419.60546875,96.0
1784311447.9926884,6419.60546875,95.0
1784311448.243791,6419.60546875,95.0
1784311448.4995062,6419.60546875,97.0
1784311448.756859,6419.60546875,97.0
1784311449.0109887,6419.60546875,88.0
1784311449.2691462,6420.29296875,88.0
1784311449.5342538,6408.73046875,76.0
1784311449.7861106,6400.35546875,76.0
1784311450.0431318,6400.35546875,77.0
1784311450.2964957,6400.48046875,77.0
1784311450.555036,6400.23046875,94.0
1784311450.8129995,6400.23046875,94.0
1784311451.06566,6400.23046875,97.0
1784311451.321894,6400.23046875,97.0
1784311451.5858517,6400.23046875,96.0
1784311451.8399715,6400.10546875,96.0
1784311452.0940092,6400.10546875,97.0
1784311452.355619,6400.10546875,97.0
1784311452.6089387,6400.10546875,97.0
1784311452.8650725,6400.10546875,97.0
1784311453.1180997,6400.79296875,96.0
1784311453.3709786,6400.79296875,96.0
1784311453.6233678,6400.79296875,96.0
1784311453.8826294,6400.79296875,96.0
1784311454.1426873,6400.79296875,81.0
1784311454.3931193,6400.79296875,81.0
1784311454.6493893,6400.79296875,79.0
1784311454.9069817,6400.79296875,79.0
1784311455.1684663,6400.79296875,97.0
1784311455.4316497,6400.79296875,97.0
1784311455.6854038,6400.79296875,95.0
1784311455.9499078,6400.79296875,78.0
1784311456.2118297,6400.79296875,78.0
1784311456.469421,6400.79296875,82.0
1784311456.7313197,6400.79296875,82.0
1784311456.9854844,6400.79296875,89.0
1784311457.2502537,6400.04296875,89.0
1784311457.5084703,6400.10546875,96.0
1784311457.7590995,6400.85546875,96.0
1784311458.0226076,6400.85546875,96.0
1784311458.2827594,6400.85546875,96.0
1784311458.5429273,6400.85546875,97.0
1784311458.8028524,6400.85546875,97.0
1784311459.0593922,6400.85546875,95.0
1784311459.3200774,6400.85546875,95.0
1784311459.579051,6400.85546875,97.0
1784311459.8412762,6400.98046875,97.0
1784311460.104098,6400.98046875,78.0
1784311460.3631775,6400.98046875,78.0
1784311460.6176064,6400.98046875,95.0
1784311460.8700802,6400.98046875,95.0
1784311461.134081,6400.98046875,95.0
1784311461.385455,6400.98046875,95.0
1784311461.6357534,6400.98046875,96.0
1784311461.893977,6400.98046875,96.0
1784311462.1535323,6400.98046875,97.0
1784311462.407805,6400.98046875,97.0
1784311462.6645572,6401.98046875,96.0
1784311462.9278135,6401.98046875,96.0
1784311463.1789756,6401.98046875,97.0
1784311463.434338,6401.98046875,97.0
1784311463.6979113,6401.98046875,95.0
1784311463.9562984,6401.85546875,96.0
1784311464.2092426,6401.85546875,96.0
1784311464.460634,6401.85546875,93.0
1784311464.7177036,6401.85546875,93.0
1784311464.973076,6400.98046875,96.0
1784311465.236414,6400.98046875,96.0
1784311465.4947884,6400.98046875,95.0
1784311465.7481549,6401.35546875,95.0
1784311466.0082512,6401.35546875,96.0
1784311466.2702377,6401.35546875,96.0
1784311466.5322647,6401.35546875,96.0
1784311466.7958412,6401.35546875,96.0
1784311467.051829,6401.35546875,94.0
1784311467.3112943,6401.35546875,94.0
1784311467.5739212,6401.35546875,97.0
1784311467.831556,6401.35546875,97.0
1784311468.0883272,6401.35546875,96.0
1784311468.3396254,6401.29296875,96.0
1784311468.5987191,6401.29296875,94.0
1784311468.8610442,6401.29296875,94.0
1784311469.117641,6401.29296875,89.0
1784311469.3690503,6401.29296875,89.0
1784311469.6306806,6401.29296875,97.0
1784311469.8842704,6401.29296875,97.0
1784311470.1459265,6401.29296875,83.0
1784311470.4063299,6401.29296875,83.0
1784311470.6682396,6401.29296875,96.0
1784311470.928487,6401.29296875,96.0
1784311471.191477,6401.29296875,94.0
1784311471.4535182,6401.29296875,94.0
1784311471.7136147,6401.54296875,94.0
1784311471.9685655,6401.54296875,97.0
1784311472.232963,6401.29296875,97.0
1784311472.4938474,6401.29296875,96.0
1784311472.7594247,6401.29296875,96.0
1784311473.0209188,6401.29296875,96.0
1784311473.2830815,6401.29296875,96.0
1784311473.548473,6401.29296875,77.0
1784311473.8050194,6401.29296875,77.0
1784311474.0599005,6401.29296875,97.0
1784311474.3154485,6401.29296875,97.0
1784311474.577995,6401.29296875,96.0
1784311474.8340695,6401.29296875,96.0
1784311475.0882163,6401.29296875,97.0
1784311475.3397453,6401.04296875,97.0
1784311475.6029081,6401.29296875,97.0
1784311475.8658314,6401.29296875,97.0
1784311476.1309557,6401.29296875,95.0
1784311476.3819067,6401.29296875,95.0
1784311476.6347737,6401.29296875,75.0
1784311476.885206,6401.29296875,75.0
1784311477.1382654,6401.29296875,77.0
1784311477.3936117,6403.29296875,77.0
1784311477.6438017,6403.29296875,96.0
1784311477.905587,6403.29296875,96.0
1784311478.1660752,6403.29296875,94.0
1784311478.426118,6403.29296875,94.0
1784311478.6771228,6403.29296875,79.0
1784311478.9386928,6403.29296875,96.0
1784311479.1972208,6403.29296875,96.0
1784311479.4567795,6403.29296875,97.0
1784311479.7113836,6403.29296875,97.0
1784311479.9667523,6403.29296875,96.0
1784311480.2236547,6403.29296875,96.0
1784311480.478899,6403.29296875,95.0
1784311480.736357,6403.29296875,95.0
1784311480.9955635,6403.29296875,96.0
1784311481.2570739,6403.29296875,96.0
1784311481.509727,6403.29296875,95.0
1784311481.7732413,6403.29296875,95.0
1784311482.028699,6403.29296875,96.0
1784311482.2864316,6403.29296875,96.0
1784311482.5401142,6403.29296875,95.0
1784311482.8015208,6403.29296875,95.0
1784311483.0548573,6403.23046875,96.0
