suite,condition,seed,macro_f1,elapsed_seconds,peak_torch_memory_mb
main,content,100,0.8664667714700187,48.67490809998708,2044.98876953125
main,content,101,0.8740960615176205,48.456124499993166,2048.75439453125
main,content,102,0.8743529175252551,48.96006689999194,2048.75439453125
main,official,100,0.883293085435057,53.11550790000183,2221.82421875
main,official,101,0.882038681171105,53.05544580001151,2230.19921875
main,official,102,0.8835458887959393,53.34639500000048,2230.19921875
qwen,content,100,0.8616984494268465,9.14969979999296,1975.75537109375
qwen,content,101,0.8322225847042923,8.73842739999236,1974.84912109375
qwen,content,102,0.8531365362919645,9.089887800000724,1974.84912109375
qwen,context,100,0.7526283240568954,11.02423729999282,2221.82421875
qwen,context,101,0.6073812328229289,10.69096449999779,2228.69921875
qwen,context,102,0.6708192627486591,10.673044099996332,2228.69921875
qwen,official,100,0.8088311688311689,11.0344269000052,2221.82421875
qwen,official,101,0.8453333333333333,10.785668800002895,2228.69921875
qwen,official,102,0.8330849478390462,10.594628400009242,2228.69921875
qwen,qwen,100,0.8185253150414074,10.449966799991673,2116.43994140625
qwen,qwen,101,0.8266078184110971,10.23058740000124,2116.56884765625
qwen,qwen,102,0.8318621269440941,10.405599899997467,2116.56884765625
