panel,scale,condition,macro_f1,sd_or_error
tfidf,400,content,0.78882905712174,
tfidf,400,old_concat,0.8075389371140068,
tfidf,400,structured_concat,0.8084379161719073,
tfidf,400,old_late_fusion,0.8239424698162907,
tfidf,400,structured_late_fusion,0.8002649817908242,
tfidf,1000,content,0.8229281603689438,
tfidf,1000,structured_concat,0.8294310212489585,
tfidf,1000,structured_late_fusion,0.8382003705733448,
roberta,400,400 current,0.8490191901410343,0.015163147917913
roberta,400,400 old Qwen,0.8256650867988662,0.0067181987988921
roberta,400,400 compact,0.8430371279777829,0.017455412133077663
roberta,400,400 late fusion,0.848753067253047,0.006051482671837545
roberta,1000,1000 current,0.8719269882963255,0.0053089674836169975
roberta,1000,1000 compact,0.8721322321146037,0.005074676869576993
roberta,1000,1000 late fusion,0.8762637385624457,0.002933650379236784
cost,,Qwen 400,,714.2153156999848
cost,,Qwen 1000,,1274.265570699994
cost,,RoBERTa 400 fusion,,19.0346361999885
cost,,RoBERTa 1000 fusion,,46.54670276667457
