panel,condition,role,value_pp,sd_pp,delta_vs_paper_pp,seed,ci_low_pp,ci_high_pp
a,论文 SPT-RII（报告均值）,paper,79.23,0.31,0.0,,,
a,本地基线（固定 split 初始化均值）,base_mean,77.6088765204466,1.4373630926474998,-1.621123479553399,,,
a,DAPT+R-Drop（固定 split 初始化均值）,full_mean,80.01009304127098,0.6221158378339,0.7800930412709794,,,
a,DAPT+R-Drop（同标签五模型集成）,full_ensemble,80.59756350933931,,1.367563509339309,,,
b,"基础模型
CE",base_ce,79.14747234818493,,-0.0825276518150675,,,
b,"DAPT
CE",dapt_ce,80.45166413036475,,1.2216641303647413,,,
b,"基础模型
R-Drop",base_rdrop,79.37548269797595,,0.1454826979759516,,,
b,"DAPT
R-Drop",dapt_rdrop,80.59756350933931,,1.367563509339309,,,
c,基础模型,base_member,78.76056990982197,,-0.4694300901780357,100.0,,
c,DAPT+R-Drop,full_member,80.09128035673339,,0.861280356733396,100.0,,
c,基础模型,base_member,75.47307753528351,,-3.7569224647164945,101.0,,
c,DAPT+R-Drop,full_member,80.3695051924908,,1.1395051924908084,101.0,,
c,基础模型,base_member,76.77127214954453,,-2.4587278504554777,102.0,,
c,DAPT+R-Drop,full_member,78.91642247120035,,-0.31357752879965783,102.0,,
c,基础模型,base_member,78.43278040045337,,-0.7972195995466391,103.0,,
c,DAPT+R-Drop,full_member,80.29804271977643,,1.0680427197764297,103.0,,
c,基础模型,base_member,78.60668260712964,,-0.6233173928703595,104.0,,
c,DAPT+R-Drop,full_member,80.37521446615403,,1.145214466154032,104.0,,
c_interval,row,bootstrap_delta,1.4500911611543763,,,,0.8496903943620429,2.06037777381136
c_interval,live_id_cluster,bootstrap_delta,1.4500911611543763,,,,0.7665114429443418,2.445029466775668
