rows,difference,comparison,seed
400,-0.027936115664512706,structured400_vs_content400,100
400,0.01523701872092642,structured400_vs_old_qwen400,100
400,0.0018678467176576063,structured1000_vs_content1000,100
400,-0.009795735880656964,compact400_vs_content400,100
400,0.003769689049083147,late_fusion400_vs_compact400,100
400,-0.006026046831573817,late_fusion400_vs_content400,100
400,-0.0023795215644949463,compact1000_vs_content1000,100
400,0.003919197947724551,late_fusion1000_vs_compact1000,100
400,0.0015396763832296045,late_fusion1000_vs_content1000,100
400,-0.02695787499015556,structured400_vs_content400,101
400,-0.021343108696960322,structured400_vs_old_qwen400,101
400,-0.004572571609375187,structured1000_vs_content1000,101
400,0.02205792531392259,compact400_vs_content400,101
400,-0.00983123207675729,late_fusion400_vs_compact400,101
400,0.012226693237165298,late_fusion400_vs_content400,101
400,-0.0017115749635009392,compact1000_vs_content1000,101
400,0.009169486459797205,late_fusion1000_vs_compact1000,101
400,0.007457911496296266,late_fusion1000_vs_content1000,101
400,-0.018916369977357128,structured400_vs_content400,102
400,0.002358039370513265,structured400_vs_old_qwen400,102
400,-0.011314640785319074,structured1000_vs_content1000,102
400,-0.030208375923020725,compact400_vs_content400,102
400,0.023209360853467143,late_fusion400_vs_compact400,102
400,-0.0069990150695535824,late_fusion400_vs_content400,102
400,0.004706827982830175,compact1000_vs_content1000,102
400,-0.0006941650639959995,late_fusion1000_vs_compact1000,102
400,0.004012662918834176,late_fusion1000_vs_content1000,102
