time,memory_used_mb,gpu_utilization
1784314140.0854814,6531.25,3.0
1784314140.3474884,6531.25,2.0
1784314140.6092038,6532.375,2.0
1784314140.8643913,6531.8125,74.0
1784314141.1152935,6531.25,74.0
1784314141.3664,6531.1875,94.0
1784314141.6172001,6531.3125,94.0
1784314141.8707466,6531.3125,78.0
1784314142.131245,6531.0,78.0
1784314142.3817868,6530.9375,94.0
1784314142.6322358,6531.5625,94.0
1784314142.897821,6531.6875,78.0
1784314143.1536767,6530.9375,78.0
1784314143.405908,6509.3125,94.0
1784314143.6711755,6509.3125,94.0
1784314143.9263608,6509.5625,84.0
1784314144.1773982,6518.46875,84.0
1784314144.4411619,6518.46875,74.0
1784314144.6971736,6518.46875,95.0
1784314144.9540164,6518.46875,95.0
1784314145.2206137,6518.46875,73.0
1784314145.475755,6518.46875,73.0
1784314145.7286966,6518.46875,96.0
1784314145.9831657,6516.40625,96.0
1784314146.23739,6516.125,65.0
1784314146.4886494,6516.125,65.0
1784314146.74311,6516.125,92.0
1784314146.996605,6512.4375,92.0
1784314147.2486386,6511.875,78.0
1784314147.5025737,6511.875,78.0
1784314147.7557006,6511.875,82.0
1784314148.0096717,6512.125,82.0
1784314148.2665188,6512.125,96.0
1784314148.5259633,6512.125,96.0
1784314148.7821174,6512.125,71.0
1784314149.0341535,6512.125,71.0
1784314149.2867315,6507.1875,95.0
1784314149.548641,6507.1875,95.0
1784314149.7998655,6507.1875,76.0
1784314150.0608842,6507.1875,76.0
1784314150.3150668,6507.1875,96.0
1784314150.5662966,6507.1875,96.0
1784314150.8260038,6507.4375,76.0
1784314151.0800984,6508.25,76.0
1784314151.3321645,6508.625,94.0
1784314151.5965192,6508.625,94.0
1784314151.857197,6508.875,92.0
1784314152.121341,6508.875,92.0
1784314152.3792288,6508.875,65.0
1784314152.6410048,6508.875,65.0
1784314152.8926792,6508.875,93.0
1784314153.1470876,6508.875,93.0
1784314153.399885,6508.875,75.0
1784314153.6555278,6508.875,75.0
1784314153.910799,6508.75,94.0
1784314154.1695287,6508.75,94.0
1784314154.4220328,6508.75,74.0
1784314154.6801925,6508.75,74.0
1784314154.9357965,6508.625,83.0
1784314155.1886103,6508.9375,94.0
1784314155.4429004,6508.9375,94.0
1784314155.6941206,6508.9375,73.0
1784314155.9553332,6508.9375,73.0
1784314156.2105966,6508.9375,92.0
1784314156.4611816,6508.9375,92.0
1784314156.7142596,6508.9375,93.0
1784314156.966759,6508.9375,93.0
1784314157.2278543,6508.9375,66.0
1784314157.492512,6508.9375,66.0
1784314157.7498882,6509.1875,93.0
1784314158.0146646,6508.9375,93.0
1784314158.2663531,6508.9375,89.0
1784314158.5207486,6508.9375,89.0
1784314158.7719562,6508.5625,67.0
1784314159.030311,6508.6875,67.0
1784314159.2823524,6508.8125,90.0
1784314159.5482109,6508.8125,90.0
1784314159.8021612,6508.8125,81.0
1784314160.0550218,6508.8125,81.0
1784314160.3143923,6508.8125,75.0
1784314160.5718498,6508.8125,75.0
1784314160.8263035,6508.8125,95.0
1784314161.0818956,6508.8125,95.0
1784314161.3320925,6508.4375,73.0
1784314161.5885766,6508.4375,73.0
