time,memory_used_mb,gpu_utilization
1784313673.778004,1138.140625,1.0
1784313674.0300817,1138.140625,1.0
1784313674.28224,1138.140625,1.0
1784313674.547337,1231.375,1.0
1784313674.8074265,5875.375,1.0
1784313675.0582676,5875.375,1.0
1784313675.3144896,5875.625,18.0
1784313675.5651093,5875.375,18.0
1784313675.818747,5875.375,19.0
1784313676.0713005,5875.875,19.0
1784313676.3259144,5875.625,18.0
1784313676.5828204,5875.625,18.0
1784313676.8399355,5875.5,8.0
1784313677.1037476,5875.75,8.0
1784313677.3629026,5874.625,6.0
1784313677.6229672,5874.625,6.0
1784313677.8814366,5874.625,7.0
1784313678.1315668,5874.625,7.0
1784313678.3967757,5874.625,8.0
1784313678.6481385,5874.625,8.0
1784313678.9122164,6478.625,1.0
1784313679.1640565,6494.625,3.0
1784313679.418752,6506.625,3.0
1784313679.68392,6506.625,95.0
1784313679.9412916,6506.625,95.0
1784313680.2008474,6506.625,94.0
1784313680.4529755,6506.625,94.0
1784313680.7038438,6506.625,95.0
1784313680.9540255,6506.625,95.0
1784313681.2072206,6506.625,95.0
1784313681.4692028,6506.625,95.0
1784313681.730019,6506.625,94.0
1784313681.980947,6506.625,94.0
1784313682.242642,6506.625,83.0
1784313682.498194,6506.625,83.0
1784313682.752183,6506.625,94.0
1784313683.0078125,6506.625,94.0
1784313683.2624161,6506.625,96.0
1784313683.514695,6506.625,96.0
1784313683.7722623,6506.625,94.0
1784313684.0261593,6506.625,94.0
1784313684.2770417,6506.625,95.0
1784313684.5301762,6506.625,95.0
1784313684.7954926,6506.625,96.0
1784313685.0538168,6506.625,96.0
1784313685.308594,6506.625,94.0
1784313685.5626965,6506.625,94.0
1784313685.814774,6506.625,92.0
1784313686.0802102,6506.625,92.0
1784313686.3303666,6506.625,77.0
1784313686.5925589,6516.03125,77.0
1784313686.8576627,6516.09375,95.0
1784313687.109169,6516.09375,95.0
1784313687.3629022,6516.09375,94.0
1784313687.6136677,6516.78125,94.0
1784313687.8740141,6516.78125,96.0
1784313688.1259968,6516.40625,96.0
1784313688.3805504,6516.28125,95.0
1784313688.6411917,6515.8125,95.0
1784313688.9022832,6515.8125,95.0
1784313689.1580927,6511.625,95.0
1784313689.411454,6510.875,95.0
1784313689.664847,6510.875,96.0
1784313689.9205706,6510.875,96.0
1784313690.1804943,6510.875,97.0
1784313690.4431076,6510.8125,97.0
1784313690.702757,6510.8125,95.0
1784313690.9687376,6510.8125,95.0
1784313691.2245705,6509.25,94.0
1784313691.4799073,6505.6875,94.0
1784313691.7356455,6505.6875,96.0
1784313691.988194,6505.6875,96.0
1784313692.2480512,6505.9375,94.0
1784313692.5068207,6505.9375,94.0
1784313692.7607756,6505.9375,94.0
1784313693.0113337,6505.9375,94.0
1784313693.2689977,6505.9375,75.0
1784313693.5295465,6505.9375,75.0
1784313693.7802484,6505.9375,76.0
1784313694.0419307,6505.9375,76.0
1784313694.2999666,6505.9375,95.0
1784313694.5581148,6505.9375,95.0
1784313694.80916,6505.9375,95.0
1784313695.0636742,6505.9375,95.0
1784313695.3147514,6505.9375,93.0
1784313695.5688562,6505.9375,93.0
1784313695.8203475,6505.9375,94.0
1784313696.0808995,6512.40625,94.0
1784313696.3314726,6517.59375,93.0
1784313696.5913682,6517.59375,93.0
1784313696.8417659,6517.34375,96.0
1784313697.0947196,6517.53125,96.0
1784313697.3468492,6515.65625,70.0
1784313697.6035457,6515.65625,70.0
1784313697.8590312,6515.65625,93.0
1784313698.1133997,6515.65625,93.0
1784313698.377526,6511.125,93.0
1784313698.641368,6511.125,93.0
1784313698.8981454,6511.125,96.0
1784313699.1525297,6511.125,96.0
1784313699.412708,6511.125,93.0
1784313699.6687517,6511.125,95.0
1784313699.9231946,6511.125,95.0
1784313700.174465,6510.25,94.0
1784313700.425521,6510.25,94.0
1784313700.68859,6510.25,93.0
1784313700.9483647,6510.25,93.0
1784313701.2091825,6505.8125,94.0
1784313701.472517,6505.8125,94.0
1784313701.7258248,6505.8125,96.0
1784313701.985909,6505.8125,96.0
1784313702.2514706,6505.8125,71.0
1784313702.5035658,6505.8125,71.0
1784313702.7611916,6505.8125,67.0
1784313703.0131667,6505.8125,67.0
1784313703.2651634,6505.8125,93.0
1784313703.5191827,6505.8125,93.0
1784313703.7764928,6505.8125,95.0
1784313704.0313685,6505.8125,95.0
1784313704.2852068,6506.0625,96.0
1784313704.5413218,6506.0625,96.0
1784313704.7968307,6506.0625,95.0
1784313705.0484312,6506.125,95.0
1784313705.3072305,6506.125,95.0
1784313705.5616455,6506.125,95.0
1784313705.81691,6506.8125,96.0
1784313706.0811555,6506.8125,96.0
1784313706.3311882,6506.8125,95.0
1784313706.586014,6506.8125,95.0
1784313706.8467538,6507.0625,96.0
1784313707.1115394,6507.0625,96.0
1784313707.3700705,6506.8125,95.0
1784313707.6296377,6506.8125,95.0
1784313707.8852859,6507.0625,94.0
1784313708.1417565,6507.0625,94.0
1784313708.402451,6507.0625,95.0
1784313708.653424,6506.625,95.0
1784313708.9124353,6506.625,96.0
1784313709.16464,6506.625,92.0
1784313709.424501,6506.625,92.0
1784313709.6815681,6506.625,95.0
1784313709.9360955,6506.625,95.0
1784313710.2021158,6506.625,95.0
1784313710.4636526,6506.625,95.0
1784313710.713881,6506.625,96.0
1784313710.9683707,6506.625,96.0
1784313711.2201984,6506.625,94.0
1784313711.480397,6506.625,94.0
1784313711.7398667,6506.625,78.0
1784313712.0056586,6506.625,78.0
1784313712.263642,6506.625,94.0
1784313712.5144522,6506.625,94.0
1784313712.770198,6506.625,95.0
1784313713.0257075,6505.9375,95.0
1784313713.2779717,6505.9375,95.0
1784313713.5300303,6505.9375,95.0
1784313713.7811487,6505.9375,94.0
1784313714.0363927,6505.9375,94.0
1784313714.2955394,6505.9375,95.0
1784313714.554845,6505.9375,95.0
1784313714.8078094,6505.9375,94.0
1784313715.064247,6506.0,94.0
1784313715.3146353,6506.0,96.0
1784313715.5701828,6506.8125,96.0
1784313715.8358557,6506.6875,96.0
1784313716.0924737,6506.8125,96.0
1784313716.3502533,6506.8125,75.0
1784313716.6025631,6506.8125,75.0
1784313716.8672717,6507.0625,95.0
1784313717.1216202,6507.0625,95.0
1784313717.371647,6506.8125,96.0
1784313717.635678,6506.8125,96.0
1784313717.8868268,6506.8125,96.0
1784313718.1424232,6506.8125,96.0
1784313718.4076014,6506.8125,94.0
1784313718.6646588,6506.8125,92.0
1784313718.9186938,6506.8125,92.0
1784313719.1688657,6506.8125,94.0
1784313719.4191961,6506.8125,94.0
1784313719.678284,6507.0625,95.0
1784313719.9418724,6507.0625,95.0
1784313720.197286,6507.0625,95.0
1784313720.4617386,6507.0625,95.0
1784313720.713061,6507.0625,96.0
1784313720.9719958,6507.0625,96.0
1784313721.2259426,6507.0625,95.0
1784313721.4922373,6507.0625,95.0
1784313721.7506328,6506.875,95.0
1784313722.0072966,6506.875,95.0
1784313722.2694163,6508.875,96.0
1784313722.5240705,6508.875,96.0
1784313722.7857177,6508.875,95.0
1784313723.0423725,6508.875,95.0
1784313723.3074427,6508.875,94.0
1784313723.5589306,6508.875,94.0
1784313723.8200228,6508.875,96.0
1784313724.070083,6508.875,96.0
1784313724.3354263,6517.78125,96.0
1784313724.5867782,6517.78125,96.0
1784313724.8444428,6517.78125,94.0
1784313725.1078553,6517.78125,94.0
1784313725.3579917,6517.78125,95.0
1784313725.6120274,6517.78125,95.0
1784313725.863387,6517.84375,91.0
1784313726.1217763,6517.5,91.0
1784313726.381305,6513.0,95.0
1784313726.6365864,6513.125,95.0
1784313726.8903294,6513.125,93.0
1784313727.1460783,6513.125,93.0
1784313727.4034326,6513.125,92.0
1784313727.658969,6513.125,92.0
1784313727.9152353,6513.125,94.0
1784313728.17049,6513.375,78.0
1784313728.4230952,6513.375,78.0
1784313728.67582,6513.375,81.0
1784313728.9412956,6513.375,81.0
1784313729.1977966,6508.5625,96.0
1784313729.4523165,6508.5625,96.0
1784313729.7089684,6508.5625,94.0
1784313729.964389,6508.5625,94.0
1784313730.2258804,6508.375,93.0
1784313730.486804,6508.375,93.0
1784313730.7480597,6508.375,93.0
1784313731.0033705,6508.375,93.0
1784313731.2535777,6508.375,74.0
1784313731.508631,6508.375,74.0
1784313731.7590322,6508.375,95.0
1784313732.014398,6508.375,95.0
1784313732.2735305,6508.625,94.0
1784313732.5346222,6508.625,94.0
